Zone;Élément;Produit;Année;Unité;Valeur
Brésil;Production;Viande de Volailles;2017;Milliers de tonnes;14201
Brésil;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;3
Brésil;Variation de stock;Viande de Volailles;2017;Milliers de tonnes;0
Brésil;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;4223
Brésil;Disponibilité intérieure;Viande de Volailles;2017;Milliers de tonnes;9982
Brésil;Résidus;Viande de Volailles;2017;Milliers de tonnes;0
Brésil;Nourriture;Viande de Volailles;2017;Milliers de tonnes;9982
Brésil;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;48.03
Brésil;Disponibilité alimentaire (Kcal/personne/jour);Viande de Volailles;2017;Kcal/personne/jour;204
Brésil;Disponibilité de protéines en quantité (g/personne/jour);Viande de Volailles;2017;g/personne/jour;15.68
Brésil;Disponibilité de matière grasse en quantité (g/personne/jour);Viande de Volailles;2017;g/personne/jour;15.34
Bulgarie;Production;Viande de Volailles;2017;Milliers de tonnes;107
Bulgarie;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;108
Bulgarie;Variation de stock;Viande de Volailles;2017;Milliers de tonnes;13
Bulgarie;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;45
Bulgarie;Disponibilité intérieure;Viande de Volailles;2017;Milliers de tonnes;157
Bulgarie;Traitement;Viande de Volailles;2017;Milliers de tonnes;1
Bulgarie;Résidus;Viande de Volailles;2017;Milliers de tonnes;0
Bulgarie;Nourriture;Viande de Volailles;2017;Milliers de tonnes;157
Bulgarie;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;22.06
Bulgarie;Disponibilité alimentaire (Kcal/personne/jour);Viande de Volailles;2017;Kcal/personne/jour;81
Bulgarie;Disponibilité de protéines en quantité (g/personne/jour);Viande de Volailles;2017;g/personne/jour;8.74
Bulgarie;Disponibilité de matière grasse en quantité (g/personne/jour);Viande de Volailles;2017;g/personne/jour;4.9
Burkina Faso;Production;Viande de Volailles;2017;Milliers de tonnes;46
Burkina Faso;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
